Method,k,Silhouette,DB_Index
K-means,2,0.32857738205407344,1.2722465172727093
K-means,3,0.2374109141920091,1.3857743390532338
K-means,4,0.23167377353417742,1.3688570234204303
K-means,5,0.26031972966473416,1.2092896500306416
Hierarchical,2,0.28793416736463706,1.4046648531089767
Hierarchical,3,0.278383074304803,1.2878339664354161
Hierarchical,4,0.2637782506473349,1.2685471023963708
Hierarchical,5,0.19653899265575023,1.3315596149685056
GMM,2,0.2492186655752179,1.472120792854153
GMM,3,0.12500690469123305,2.2438948309807554
GMM,4,0.13315967327422157,2.1624404528765027
GMM,5,0.11112372761201482,2.501131154311711
